entity,label,anomaly_type
1F84wTgAvCqPAwBMDixNEQX9KB0260,normal,none
1F8S6gz77BBYaxSvkrCTvkDrm90027,normal,none
1FzSUWaZWzonhdLzUDrArc73S30002,normal,none
1G5vfotdM17Kcf8GtH8FMVV77C0075,normal,none
1GM3qzZCbBFmn9Dv8Sb2qiHzJm0173,anomalous,peeling_chain
1GR3eC9eqzCnhpAUtaC1j4qfFD0088,normal,none
1GY9a5JGi7dgHgcc6PLTsGLvR10224,normal,none
1GcyUTT8YtszApWFmCTXZa6sCy0124,normal,none
1GohYVNwMq5XFRd46af4xSy8te0062,normal,none
1GvbwVFnvH1ziP2ZRTQfSyw6Mw0329,anomalous,layering
1HBLsCsY1wLkQS6AcqStumnHDP0280,normal,none
1HE1xgUCzBKQDci2uNA3rPb6us0349,anomalous,circular_flow
1HLhEFwCQLLH7xyEvRoVKhQyvc0288,normal,none
1HPp2BhRSwo7EGfRgETNBCQgkm0076,normal,none
1HaQ2PXHWbHWKQWi5pkeCLkwy70188,normal,none
1HhDnJqxc2rkfuvSuX3WGjPjFq0110,normal,none
1HkzuUFPEoQsJBp8NmNpWDZDM60327,anomalous,layering
1HpWhdUYzPwnBsPBF8L7YyxwFE0030,normal,none
1HtVWkK4KdCmdfwE5LP1Mz5vbw0209,normal,none
1Hw7ai6HkcffH2s8Us4i47EMcM0130,normal,none
1J3XCSb562vqCLcgPQiq8CkVBY0228,normal,none
1J7y5UJBUwLAMbFwEwPZJDJWeH0319,anomalous,layering
1JGtKebQdCwv1UCTMspHYPWum40067,normal,none
1JJVmsqes4AKCiTDyGcbdrKSzW0183,normal,none
1JNfYJDiFDLrTb5LkmasJA5Cmu0021,normal,none
1JPgndxCAPeV1Tfb4sfR2hQosh0318,anomalous,layering
1Ja2iFhfVdJC1YX7dESUxcCKp80141,normal,none
1JiT6fj5nXprgLNj4EXwkpCHGk0023,normal,none
1JrJbsLKoPef7KEQp2pj5BXsiB0305,normal,none
1JxrChbiDtWomL1aNG8CmCk7uE0226,normal,none
1K8wzaDaEDkeNNYY2QY5hsjhrx0246,anomalous,rapid_movement
1KDMnmrWyb7aAu5gKCuXeo9y760325,anomalous,layering
1KJZHrmLZ6P9nDwkeReQrpHwzB0291,normal,none
1KSRW7pMSm3chqD9tWDqJG8gJh0219,anomalous,peeling_chain
1KTquEY7qLeuZuVwgdVyjaBqK60129,anomalous,high_velocity
1KZ4aRRwGj9DhqmfsH2GVBSQAM0306,normal,none
1KeCBsmbkKiCS9NLRU2LqSY6Py0025,normal,none
1KhLYJzRW7Tvrax8iPNzQb1DEf0331,anomalous,layering
1KomNVmvHfbdomPk4LDFuS5V590044,normal,none
1KpW7vWM3aY9rW5CGkmpcuKadN0048,normal,none
1KuiyWvhQ2k5rHCdyh6JfBEVDX0175,normal,none
1L2rqgvwzNcmfngPaCxtcmLPWG0046,normal,none
1L7hhztC3sycc6Y1mt2Ez7ofeh0208,normal,none
1LGtWXAFQW2JgabtG31uwX85L70177,normal,none
1LJnHtkwz5gs2AJCo8vMbQMsMy0080,normal,none
1LNdpN2C6doDXUStGdYsDwrTpe0082,normal,none
1LdDpgcif6cCFnNnqFwSBH1Ax90115,normal,none
1M8e4BMAYjFxBsSmQsG2vdwG3S0243,anomalous,rapid_movement
1MZjSAfzpEqG78nPvN4gbtxFFo0234,normal,none
1Me2V6J3bKPzi9LY9Df3mqQ8V80264,normal,none
1MgXhLht8tF24WwAz5cbAr89SM0181,normal,none
1NJ9QL8At7NPhR2bhYExTegBA60235,normal,none
1NMRXY2uQbFJefUL2Z46GZ2UXe0284,normal,none
1NSfXGXNFCGYNRnhSa3QTJCj1y0086,normal,none
1NfgokTGSEAdpQsq31vYTMDDcs0324,anomalous,layering
1Ng9qvgPWJ8sscHzQZt3DjvsEn0237,normal,none
1NjsXJgLj1zG77zwUmCwNbN7tm0139,normal,none
1Nt3cZkMWXC3vpGSA1ea6xm9ii0336,anomalous,layering
1NzQDEi3ysZUmYUKSk42iNo2u80008,normal,none
1PLWeSDUbRshtHUAwSp6iStV8n0143,anomalous,high_velocity
1PMFbQD3vNwR2zZxiCEU2K1ahE0343,anomalous,circular_flow
1PNCc6aeRnd4QJKJnYDcQQ7stP0182,normal,none
1PSEeV8p9MBwHsxD21BQAxUr180045,normal,none
1PiWRVU5N5LMs1SBsNRdmWoBbm0337,anomalous,layering
1Pmk4Ffdvu7scNGUTYTLcVLxAt0254,normal,none
1PxE7QZSUVJ5HV6Pe6CxRDvBMs0245,anomalous,rapid_movement
1Q2Lwq4iq3PPnmZX7gUz5gWYzr0144,normal,none
1QJB3ZFzxK1kjMn7QDb4DAfQi80105,normal,none
1QSJm5AAfT3QyLtNA3mUpf3bZ90153,anomalous,peeling_chain
1QWkCSJ9JJzPLPEuwP92yqraem0078,normal,none
1QcrGrT3u7bYhihgyve77mWmvp0345,anomalous,circular_flow
1Qij1UmyjHPNF1YGJNpjbjJPod0159,normal,none
1Qkjh98RXKgDL6WkyEd3Wt4P8X0101,normal,none
1Qnf3nYaSPQRYCdjhhuPfvzVfh0223,normal,none
1QtQZJDA65RZ6uVsjRKGAWMVAg0161,normal,none
1R2qDz278gdC6GAiuRLXLB6eoX0058,normal,none
1R3q6JSip6CNW8yHpmuugJbBaD0137,normal,none
1R8ZBGJySZv1HRuigNrBQM16nw0047,normal,none
1RBUMLEpaFkDGLxndrrZsMPeyp0200,normal,none
1RWC56g3BgoKVTmwqdkprmixN40120,normal,none
1RipUr8LyChD8Auy6i6pL3wv2P0053,normal,none
1Rr3FcxdVuqxbHmb5t6iMBsduK0303,normal,none
1Ry7fjR5XSsgL4bHgsMuXXmnuz0009,normal,none
1RzVvhUgYhNdcWXmDPcGouWr3i0170,normal,none
1S3K4bkCXbt9dnbWCqDryexLSg0301,normal,none
1S8rd4kZ4McJBtw34rH5UgLHLX0354,anomalous,circular_flow
1SAr3zvkwiGsde2PPKhzMGoNum0171,normal,none
1SGjgmQ8atjffrr15VJx2gX9cV0259,normal,none
1SaDZKuzpEjyvs49mJTVkkJnUa0095,normal,none
1SawPWfeypaZnktzkAV4BChNqd0185,normal,none
1SfFRWB9r88xrt368qR4rL6zww0314,normal,none
1SorfvgKFLquazBVgBdFZKUQmz0338,anomalous,layering
1TKKJLWVfgP3YzvRvvN1Z4m6Au0192,normal,none
1Tq2scg4QYD9frB6GfVhwGfbrL0204,normal,none
1TxtusLYxuVpf6d8uQAX6eqZKs0286,normal,none
1UTcfFWVAV9CHy4rDw8cTEMQbj0052,normal,none
1UXEsLT2S5X2J86ez5Utuo1G2h0244,anomalous,rapid_movement
1Umt842wNV4DEykUaS3Nktp8pD0232,normal,none
1Ux4cn4iqwYNqUKunQ3qDR3LuH0127,normal,none
1VQP5tRuErrmKfPyoQZv3DD2cg0134,normal,none
1VQvwJduMAyhJwt9PmFGX4TS8h0274,normal,none
1VVmFsQ4ecvZoEAeUnVozy6yWN0069,normal,none
1VXrkapwZJvLnqro2n1idqLAs30253,normal,none
1VuCa32TxfCtMNXtcNL9SydPTC0187,normal,none
1W4LApoPNq6nxSkiu2hPrrHaVZ0038,normal,none
1WKrg7xRNPrGootp56vTyAESdB0255,normal,none
1WtX1oU785Xg6atuBGfmebKvDe0140,normal,none
1WusN5xgwNcYNdTpDvdA4rg7s10290,normal,none
1WxXutmkaaqRwsNQiv64FRAXYx0012,normal,none
1XPqoAeU4Bp9SVoTYeMrfhwLjV0236,normal,none
1XQPYiiFwSjsMr5JikyR1Sm7BQ0071,normal,none
1XhS5qKfHSeG5o5fbSAsPhqyof0126,normal,none
1XwEisTAbiT2fGcCdr3bifX5LJ0335,anomalous,layering
1Y2imP2qFvNPo82mvz89LiupNv0026,normal,none
1Y2o1XaR8oZkfX1SsDFuZcMGLy0207,anomalous,peeling_chain
1YDkeuZ8tB4oTe8iQzdwnq6nbP0024,normal,none
1Yi1pXYM3wpqhVu7GSnLsKMKQp0094,normal,none
1Yrww33ex2oYZ7VfhMheiFw52B0202,normal,none
1Z7feA6CBBmEWmfRj2cMCBhx7J0100,normal,none
1ZDkmEGwZ5qpcEkQyrJtsFYiCr0215,normal,none
1ZHUxK1AG7LSNfJB2kDGGygcNq0275,normal,none
1ZN8oYfW4sQDdJgWT6BsyZUBie0081,normal,none
1ZXidn4n4qyjF8MJEMeQztQyKZ0263,normal,none
1ZfGHRjnhsSrFZNsU9kzk3Pu2n0317,anomalous,layering
1ZxrL4t1PEf2ocQ1SZdP7BXE6P0132,normal,none
1Zzg1scNGCF1VNckSTiixXAXEV0195,normal,none
1a2uVagsxsXhhLzVt5FjjeGp650321,anomalous,layering
1aLRF8AdU6Bj9rhfRAfTUhW4Kd0199,normal,none
1aN7xDnuvbbpkfxE3ZarB6owEF0163,normal,none
1aQ8rVh36hMmLGT7kd5wvhUTNb0193,normal,none
1aZoA6ps3YwTeNZLQopD1x1XXd0138,normal,none
1ajQVvuWsB3fVEFMSi4FMpQM1w0231,normal,none
1amwHtrNLGKtKVwg85DsEKYV5C0040,normal,none
1b4mQyT8HTPGLjNAcjVjC9onWV0084,normal,none
1bLw1P3iY95kCqLY5W2DvySuCb0057,normal,none
1bMFUjfTJqP9Z7JG9fuE8KzoqJ0353,anomalous,circular_flow
1bgtAqgUsnZned9o3NEkcXRjKj0294,normal,none
1br7h3hsqcY8WvNHsYu3AgmyGF0104,normal,none
1byj97xRN441QNVHUsp13eQj4R0220,normal,none
1cC8DRGVGwyKkToyqRVpN6PP5B0160,normal,none
1cCQ2KxWXhtu1wGp6MKtMiPBkx0196,normal,none
1cKRAZLdSYxvWagRj212E8Yr4b0340,normal,none
1cM9wD1BUYFf2iXDjLq91e2ReG0348,anomalous,circular_flow
1cVzkQaE6ZJLq7ciSh6yv8au7o0145,normal,none
1cc2CFPzULrwJV8DX1iDWKFSgS0122,normal,none
1crt87fvBqsabe8FrbXgVw5guX0289,normal,none
1cwpWmooXQqE431a6vS2NpxfzJ0309,normal,none
1d4Ym5nbKD1CHsWCkTqkwi7ZRo0036,normal,none
1dPiTZxdwFyDj3gtGAN41RqQHE0083,normal,none
1dRqgUM5M1xeYReSuKSBiUHFrt0156,normal,none
1dzWuK5WrzfasUrtp4F4Tnvw430206,normal,none
1eBg3ErKyqFvszQuKMWM1iSpCE0059,normal,none
1epSfDcECmaN3EoUxur13aLqK90017,normal,none
1evsdyRM8hm4XcBWyoxXvxpSXT0109,normal,none
1fAJSeQYmUnwYfftUrJsW6dLxX0341,anomalous,circular_flow
1fPjCcrE5ULdrvgwhwzB21fMks0106,normal,none
1fhMFZFb7PQj2NfVksmL86e8qa0085,normal,none
1fo4Rn6XUUAc5k2TQqF1Lrx7qq0297,anomalous,amount_splitting
1fxmUUQ4iYXwjx5xZQZ3wd3uT70035,normal,none
1gGRW163nJBAS7eh9zQqZsYKtu0112,normal,none
1gMeb74fPbKE9PpQPayPbScSeY0005,normal,none
1gMhwYL9exfv675uSd82JpCqKj0191,normal,none
1gQ1mhptjq7vuhojstXpvJ3A2S0015,normal,none
1go6fiiHFS4Jtqw2e4vXhEcqRn0114,normal,none
1gokRiQ9q9fNyMsJ7PWzmR5NYU0189,normal,none
1gp7V2xXH48HqyJLr6cbWq6HnJ0068,normal,none
1gx9ZSME4Qp6QyxD1f1JVs6fX80006,normal,none
1gypDjWSVYvn3mKLbz4WEuTrt60031,normal,none
1h3VQjy9A9wjUPar4EeEyspM570214,normal,none
1h4vn6oLfEK1fb5HfoaAcDSUEp0073,normal,none
1h8XbETDfRyHZt2ULg4u7daAQK0298,normal,none
1hA8JuGwF4n77XCcXiKHEkNrWo0089,normal,none
1hBq6jeJTU14igFSngVsY1TFg70079,normal,none
1hCVUVvw5nAAVyXakUSh9tMbym0051,normal,none
1hhf1hwYCGm1ACEq8Dt5JFoX9b0117,normal,none
1hmARjH8zGsNGGSeZiAhRtHXo90261,normal,none
1hsHoieRxUQBRCHrkaxRPmDu3A0194,normal,none
1iEDMZ2Zp1s8qMNBZECgjxYThe0154,normal,none
1iva3GDMckrypdjmhKNk4Tdi5b0299,normal,none
1j2mYjPtWzJrfvBWuFxyVjTfrj0061,normal,none
1jKb64YExyCQWdm8Xa3cHmZyAT0339,anomalous,layering
1jKfaTBurMUfNb4uHTbEHV3Ka90225,normal,none
1jR7gom6Z4c9HWbrq7SykiWZWv0347,anomalous,circular_flow
1jp3R39QS155veKST5FsBNTtwc0149,normal,none
1k6dk1BbUCeJY6Zz9TAcPCFN6e0326,anomalous,layering
1k8yBsaFR7RhCxfNHnQwThuxFS0063,normal,none
1kCMnnDDSJHV82tYLVkTtoHc1U0334,anomalous,layering
1kEW8R2zWq8ABZrcVwBAfrGGXn0029,normal,none
1kFnoggJi8dvyJLcQjCA3UDJvp0013,normal,none
1kP19B55ZExaaXenKcagkmb5oy0050,normal,none
1kTH4Gx51FKCCY1yVN5CuLgANK0090,normal,none
1kdEQCtFo8PRjWqd14RCE7yGgB0151,normal,none
1kdLce5gduCsiS1gzB96DiDusk0164,normal,none
1kfEw8LfAV8mf2ts1aMSAExG8n0277,normal,none
1kvLJtS2d1ZSfHh7Gw1ziVbNZD0273,normal,none
1mgVVMsDHHBMhM9BTUP7VsSYh60198,normal,none
1mnqzmqiJrhgyjLJLA5knAPvqb0032,normal,none
1mt1bNfhj33w6WVN3AW7jrfqch0070,normal,none
1mwPFYHDqbtijnL8TyqiMDoSnD0093,normal,none
1n3qG7Jmsk36M1CFhcp24isehy0135,normal,none
1nRVfrmf5ZAoaV3fWVEMqmq5Dy0332,normal,none
1ngjE2qciFBNK3LcvxTvcmvsQK0251,normal,none
1nty9cfYKQeVpBpcr1HwHS8tFw0242,normal,none
1o6Tf3dupgoMK5iKsUt9AM2Vef0019,normal,none
1oA8sJJk9JFxnBTXBYyW6mV3HY0222,normal,none
1oHsFA3PLJA6Ddg6Ab2RBwJNAS0293,normal,none
1oJNKJAHx5DGHrQr7gEtQfaMYj0323,anomalous,layering
1oP8b2UzSAoaY4ayn14gvq5Jc10300,normal,none
1odNCQLJEoModVir9eGgVGNFgE0152,normal,none
1ohiBH3CakCxszYMa4ZK355zHJ0302,normal,none
1pEDg6Fc3GRcCZgNDFZ1B7Upsf0227,normal,none
1pS4aed62dUrDhF7aRSCBfPiQj0342,anomalous,circular_flow
1pTNcWY2dPCn9B1jqP1TFEaiVL0217,normal,none
1pWj7iZDmYjqFozWimRoRtnYBp0065,normal,none
1q7S3yymYNDrEYqiNt6akwzQEN0252,anomalous,amount_splitting
1qNEtc6gHkv62jPuhdqAPvb65E0304,normal,none
1qSEP7m9iPZQdmaYgTv6wFybr20133,normal,none
1qZ6AjKLxjSmH8UkHwJZBeBK4B0162,anomalous,peeling_chain
1qb7kcuUBbTfNJ8xkUEdQd6Bj40014,normal,none
1qfkgFaNR7BLHdHFRZzWMKSvNF0039,normal,none
1qjRH1RZdL3GDy7pjUD6VnLnEJ0108,normal,none
1qk3ZUfNoWEWEWHSJXmgNVKKdn0055,normal,none
1qmXmhjLa1f8iiXGfGEgXAdmZM0351,anomalous,circular_flow
1qoV6SHuNZdR8yFMMj5EukakLq0146,normal,none
1r81zH2hJRxa1gAKDv6YUZb6KZ0064,normal,none
1r8ueAjW5M26KCLN4q6ZCX1g9v0322,normal,none
1r9EKXMQ54vVFBYX4WZfeG51y60249,anomalous,rapid_movement
1rBNVHEZAnPk4nUrhoe7yPtWdB0097,normal,none
1rFqgVhbuGfAzK4n3ACMaaRt5B0197,anomalous,peeling_chain
1rU4rRSPHbJW5qDcGBBh4oUTDM0049,normal,none
1rrUwcuxaH9ZCkvFZ3BNtyeaa40007,normal,none
1s6Cs4ftEhZhJ7v7L1Ce3DLLzB0091,normal,none
1sU6Dd3YX4UM8csHZzroNW4v130148,normal,none
1sWnF5Fh4DuW2a8tjsT4WXJEAy0221,normal,none
1sXNjSpsxjfVFgagSEEkLpESYj0311,normal,none
1sqr3stEZZU57RGabFRRyNX5N40239,anomalous,rapid_movement
1sxLSNmF3veuvSPQZ8Cytfox2d0308,normal,none
1syPUkzLVNsu4CdE9tvGcL9t1K0150,normal,none
1tdAC5xMHrJEFP4eRymPioCA830043,normal,none
1tfyyuyAqwaCJoARAze2mCrav80279,normal,none
1tiDdAYEjb8Q3x2UcGSKqiyq7s0283,normal,none
1uJvcyc2mbFd9XqBbvnY53BMaj0333,anomalous,layering
1uLm6FHrqpMKq8U8bQfqD56RnM0241,anomalous,rapid_movement
1uYDp7sAZVxH7TKg4Ktf82XYCu0218,normal,none
1uhTeKeDPs7hKhhodEejT5rfGK0276,anomalous,amount_splitting
1vRTspeaxNkygCvueyFrFcHdov0270,normal,none
1vZGaujJ8VkbdEgdQi59vUpcyg0285,normal,none
1vahvpFqRk4E1zFjoGgUUFQDGM0281,normal,none
1vawFfMrckbm9EhB5ZyJCjFmCB0056,normal,none
1vbcxTsku9QbGNssnEr6P6HnEV0111,normal,none
1vmtgvfY1HsfA3BCWGbjknHww50155,normal,none
1vpNQfnht5zVGDTJwVwgNQwfQk0054,normal,none
1vpqjBkThbqXJfgHXfLAKqAPVo0077,normal,none
1vvvtGoKPaXtBbmStkA9kNhm3h0113,normal,none
1vxMxF8e9KQgqtdxjsa7DQpR1S0060,normal,none
1w2AznVtq9psjeAcfFWLaE4She0268,normal,none
1wTxdyY1AewfgtJCt8KoFGt4g60168,normal,none
1wWy6U1hXFWeszB3rZGeYgis9r0167,normal,none
1wdguamqE4JHsu1Vp8o7UpJLHi0001,normal,none
1wkRGwVBWS7S2FsVGkf72UTXeC0350,anomalous,circular_flow
1xDSER1hEqiLTfRD3YXm84jjo10034,normal,none
1xFSfwiuPd9FcFD7NHYaxc9R5Y0201,normal,none
1xYsptEK9x9HcZ5XXNo8mXfi1Z0313,normal,none
1y4gqS3ARTbLp149fBMj3pL9eT0295,normal,none
1yHPB4ubtqMUhnV3HKMbx9LGap0092,normal,none
1yLqwb9JWH6AxPaSo6HaoThoep0033,normal,none
1yxpbNap5NbmEHPkN6yNdPjkB80142,normal,none
1z76vJyyVyXBbiacMQ4nvdMEuV0282,normal,none
1zGdNkd247ziKwJdVuU4QtPs2d0116,anomalous,high_velocity
1zHEH78HDLkHoS9qEX1bi7S4ex0190,normal,none
1zRHqUpAUomgTpNfYJCXKWhomW0041,normal,none
1zaHnjZuuG9v2kjeVCYHr6Ntdo0210,normal,none
1zfWFN3jVyydv2S39TnnitzN8W0166,normal,none
